"","plot","standtype","Latitude","Longitude","drainage"
"472","2016-055","Conifer mix",55.9436888587236,-102.999490606212,NA
"473","2016-056","Deciduous-conifer mix",55.9280310351076,-102.979529048018,NA
"474","2016-057","Well-drained spruce",55.9188708453647,-103.075896468179,"Well-drained"
"475","2016-059","Deciduous-conifer mix",55.9291567263816,-103.036908036116,NA
"476","2016-060","Jack pine",55.9233578289902,-103.131741432798,NA
"477","2016-061","Well-drained spruce",55.9799953931497,-103.072969292835,"Well-drained"
"478","2016-062","Well-drained spruce",55.9775139731196,-103.08593592075,"Well-drained"
"479","2016-063","Deciduous",55.9562055456793,-103.106254012549,NA
"480","2016-064","Well-drained spruce",55.9189357924671,-103.019900448074,"Well-drained"
"481","2016-065","Deciduous",55.9060791500189,-102.955095063841,NA
"482","2016-066","Deciduous-conifer mix",55.9017932031193,-102.961655504516,NA
"483","2016-067","Deciduous-conifer mix",55.8962730075343,-102.953947604931,NA
"484","2016-068","Conifer mix",55.9008216147781,-102.956880254777,NA
"485","2016-069","Poorly-drained spruce",55.927312148308,-102.985953488959,"Poorly-drained"
"486","2016-070","Deciduous-conifer mix",55.8847595449624,-102.964195588191,NA
"487","2016-071","Conifer mix",55.811957164009,-103.06515236791,NA
"488","2016-072","Well-drained spruce",55.8286265340621,-103.04854956773,"Well-drained"
"489","2016-073","Well-drained spruce",57.3414039349247,-104.073209133742,"Well-drained"
"490","2016-074","Well-drained spruce",57.3095102848157,-104.128970533922,"Well-drained"
"491","2016-075","Well-drained spruce",56.2546046270905,-103.29650650483,"Well-drained"
"492","2016-076","Well-drained spruce",56.0614620823057,-103.663077787332,"Well-drained"
"493","2016-077","Deciduous-conifer mix",56.0139998478739,-103.674557604677,NA
"494","2016-078","Well-drained spruce",56.2837059491907,-103.873517342484,"Well-drained"
"495","2016-079","Jack pine",56.2645015456247,-103.840111405422,NA
"496","2016-080","Deciduous-conifer mix",56.2471374162315,-103.914893267409,NA
"497","2016-081","Poorly-drained spruce",56.1896974491842,-103.805333893887,"Poorly-drained"
"498","2016-082","Deciduous-conifer mix",56.2310764747969,-103.920144795632,NA
"499","2016-083","Well-drained spruce",56.0663550284173,-103.878269295149,"Well-drained"
"500","2016-084","Well-drained spruce",56.9516804479046,-104.767432027324,"Well-drained"
"501","2016-085","Conifer mix",56.9246763627215,-104.772664882297,NA
"502","2016-086","Deciduous-conifer mix",57.0169108769695,-104.62550648488,NA
"503","2016-087","Deciduous-conifer mix",57.0382369487082,-104.603919318018,NA
"504","2016-088","Jack pine",56.9838839345893,-104.718091774806,NA
"505","2016-089","Conifer mix",56.9587375733187,-104.728039136798,NA
"506","2016-090","Poorly-drained spruce",56.9712584630933,-104.704858610263,"Poorly-drained"
"507","2016-091","Deciduous-conifer mix",56.9041139234309,-104.795683281788,NA
"508","2016-092","Well-drained spruce",56.9667932569306,-104.716352483521,"Well-drained"
"509","2016-093","Jack pine",56.9426818619394,-104.778981925443,NA
"510","2016-094","Conifer mix",56.9399167771218,-104.736360794634,NA
"511","2016-095","Jack pine",56.9433723770514,-104.713313665595,NA
"512","2016-096","Jack pine",56.947160669947,-104.739557876046,NA
"513","2016-097","Deciduous-conifer mix",56.9192920164189,-104.762748389455,NA
"514","2016-098","Jack pine",56.9121439610812,-104.78419270235,NA
"515","2016-099","Well-drained spruce",56.9165481240738,-104.790760197695,"Well-drained"
"516","2016-100","Well-drained spruce",56.9282757277256,-104.770983571527,"Well-drained"
